tipo_del_edificio,edificio,direccin,distrito,clase,unidades,consumo,puesta_en_servicio,potencia_kwp,empresa_instaladora
seguridad,parque_de_bomberos_11,calle_mesena_146_28033_madrid,hortaleza,energía_activa,kwh,00,20220401,nan,empresa_desconocida
seguridad,parque_de_bomberos_11,calle_mesena_146_28033_madrid,hortaleza,energía_reactiva,kvarh,7180,20220401,nan,empresa_desconocida
seguridad,parque_de_bomberos_7,avenida_hellin_52_28037_madrid,san_blas_canillejas,energía_activa,kwh,00,20220401,nan,empresa_desconocida
seguridad,parque_de_bomberos_7,avenida_hellin_52_28037_madrid,san_blas_canillejas,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
seguridad,parque_de_bomberos_8,calle_pio_felipe_24_28038_madrid,puente_de_vallecas,energía_activa,kwh,00,20220401,nan,empresa_desconocida
seguridad,parque_de_bomberos_8,calle_pio_felipe_24_28038_madrid,puente_de_vallecas,energía_reactiva,kvarh,3140,20220401,nan,empresa_desconocida
cultural,planetario_de_madrid,avenida_planetario_16_28045_madrid,arganzuela,energía_activa,kwh,00,20220401,nan,empresa_desconocida
cultural,planetario_de_madrid,avenida_planetario_16_28045_madrid,arganzuela,energía_reactiva,kvarh,30320,20220401,nan,empresa_desconocida
cultural,planetario_de_madrid,avenida_planetario_16_28045_madrid,arganzuela,gas,m3,00,20220401,nan,empresa_desconocida
seguridad,samur_base_14,calle_casuarina_10_28044_madrid,latina,energía_activa,kwh,00,20220401,nan,empresa_desconocida
seguridad,samur_base_14,calle_casuarina_10_28044_madrid,latina,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
administrativo,sede_ag_hacienda,calle_alcala_45_28014_madrid,centro,energía_activa,kwh,1197580,20220401,nan,empresa_desconocida
administrativo,sede_ag_hacienda,calle_alcala_45_28014_madrid,centro,energía_reactiva,kvarh,77920,20220401,nan,empresa_desconocida
cultural,silo_biblioteca_huerta_de_la_salud,calle_mar_de_las_antillas_10_28033_madrid,hortaleza,energía_activa,kwh,00,20220401,nan,empresa_desconocida
otras_dependencias,almacén_de_la_villa,calle_ahumaos_27_28052_madrid,vicalvaro,energía_activa,kwh,00,20220501,nan,empresa_desconocida
otras_dependencias,almacén_de_la_villa,calle_ahumaos_27_28052_madrid,vicalvaro,energía_reactiva,kvarh,00,20220501,nan,empresa_desconocida
social,apartamentos_tutelados_retiro,calle_jose_martinez_de_velasco_22_28007_madrid,retiro,energía_activa,kwh,00,20220501,nan,empresa_desconocida
social,apartamentos_tutelados_retiro,calle_jose_martinez_de_velasco_22_28007_madrid,retiro,energía_reactiva,kvarh,00,20220501,nan,empresa_desconocida
cultural,biblioteca_ana_maría_matute,calle_isaac_albeniz_1_28019_madrid,carabanchel,energía_activa,kwh,00,20220501,nan,empresa_desconocida
cultural,biblioteca_ana_maría_matute,calle_isaac_albeniz_1_28019_madrid,carabanchel,energía_reactiva,kvarh,770,20220501,nan,empresa_desconocida
cultural,biblioteca_ángel_gonzález,calle_granja_de_torrehermosa_1_28024_madrid,latina,energía_activa,kwh,00,20220501,nan,empresa_desconocida
cultural,biblioteca_ángel_gonzález,calle_granja_de_torrehermosa_1_28024_madrid,latina,energía_reactiva,kvarh,00,20220501,nan,empresa_desconocida
cultural,biblioteca_ángel_gonzález,calle_granja_de_torrehermosa_1_28024_madrid,latina,gas,m3,00,20220501,nan,empresa_desconocida
cultural,biblioteca_dámaso_alonso,calle_manuel_ferrero_1_28036_madrid,chamartin,energía_activa,kwh,00,20220501,nan,empresa_desconocida
cultural,biblioteca_dámaso_alonso,calle_manuel_ferrero_1_28036_madrid,chamartin,energía_reactiva,kvarh,00,20220501,nan,empresa_desconocida
cultural,biblioteca_eugenio_trías,paseo_fernan_nuñez_24_28009_madrid,retiro,energía_activa,kwh,324200,20220501,nan,empresa_desconocida
cultural,biblioteca_eugenio_trías,paseo_fernan_nuñez_24_28009_madrid,retiro,energía_reactiva,kvarh,102470,20220501,nan,empresa_desconocida
cultural,biblioteca_eugenio_trías,paseo_fernan_nuñez_24_28009_madrid,retiro,gas,m3,00,20220501,nan,empresa_desconocida
