Número,Código Ayto,Centro,Dirección,Coordenada-X,Coordenada-Y,Latitud,Longitud,Superficie (m2),Uso del edificio,Adscripción,Distrito,Potencia KWp,Empresa instaladora,Puesta en servicio
84.0,1953.0,CC MARCONI,"AV/ MARCONI, 2 BAJO/1",440472.0,4465148.0,40.334751832113696,-3.70080956092159,1743.9618666666668,cultural, JMD Villaverde , Villaverde ,10.0,AURA,2018-02-19
85.0,1905.0,CC LOS ROSALES (NUEVO ROSALES),"AV/ LOS ROSALES, 133",442482.0,4466908.0,40.3507479743351,-3.67730644219692,1743.9618666666668,cultural, JMD Villaverde , Villaverde ,20.0,AURA,2018-03-05
86.0,1031.0,CC BOHEMIOS,"C/ BOHEMIOS 1, B1",441066.0,4467547.0,40.3563965425188,-3.69405018466108,1743.9618666666668,cultural, JMD Villaverde , Villaverde ,10.0,AURA,2018-02-19
87.0,1109.0,JMD VILLAVERDE,"C/ ARROYO BUENO, 53, Sot Dch 1",439603.0,4466726.0,40.3488958485546,-3.71120030905872,1242.6928333333333,administrativo, JMD Villaverde , Villaverde ,16.51542372140949,AURA,2018-11-12
88.0,1895.0,CDM EL ESPINILLO,"CARRETERA DE VILLAVERDE A VALLECAS, 19",441698.0,4467536.0,40.3563419399193,-3.68659514182063,4661.848685714286,deportivo, JMD Villaverde , Villaverde ,10.0,AURA,2020-01-29
89.0,2438.0,EI MAMUT  (BUTARQUE),"C/ MARICARA, 32",442483.0,4465459.0,40.337689,-3.677163,1108.709608008587,educativo, JMD Villaverde , Villaverde ,5.0,UGARTE,2019-01-03
90.0,155.0,PARQUE BOMBEROS Nº 8,CALLE BOADA 9,444572.0,4471763.0,40.3946173183705,-3.6531308970881295,2695.374480204042,seguridad," AG de Portavoz, Seguridad y Emergencias ", Puente de Vallecas ,25.0,FERROVIAL,2019-10-18
91.0,895.0,CASA ASOCIACIONES HORTALEZA,CALLE MATAPOZUELOS 6,444896.0,4479194.0,40.461589,-3.649947,751.7957500000001,social, JMD Hortaleza , Hortaleza ,9.0,Empresa desconocida,2020-03-23
92.0,895.0,EI PLÉYADES,AVENIDA SECUNDINO ZUAZO 52,447428.0,4482921.0,40.4953303405269,-3.62038557307297,1459.2518472145596,educativo, JMD Hortaleza , Hortaleza ,15.220080089559456,Empresa desconocida,2020-03-23
93.0,2408.0,CMM VALLEHERMOSO,CALLE VALLEHERMOSO 47,439883.0,4476241.0,40.434646,-3.708785,751.7957500000001,social, JMD Chamberí , Chamberí ,5.0,Empresa desconocida,2020-03-23
94.0,1208.0,BIBLIOTECA GERARDO DIEGO,"CALLE  MONTE AYA,  12",447138.0,4469889.0,40.3779019624043,-3.6227296605039503,1743.9618666666668,cultural, AG Cultura Turismo yDeportes , Villa de Vallecas ,18.511834128143455,ACCIONA,2020-11-20
103.0,149.0,CEIP  SAN JUAN DE LA CRUZ,"C/ DE HONDURAS, 10, 28016 MADRID",442495.0,4479193.0,40.4595373759822,-3.67954186336266,1459.2518472145596,educativo, JMD Chamartín , Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
104.0,363.0,CEIP ARQUITECTO GAUDÍ,"C/ ROSA JARDÓN, 10, 28016 MADRID",443279.0,4479632.0,40.4654182810019,-3.66906777282054,1459.2518472145596,educativo, JMD Chamartín , Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
105.0,212.0,CEIP ISAAC ALBÉNIZ,"C/ DRACENA, 29, 28016 MADRID",443272.0,4479500.0,40.4642287544101,-3.66912674105744,1459.2518472145596,educativo, JMD Chamartín , Chamartín ,15.220080089559456,Empresa desconocida,2020-11-17
106.0,245.0,CEIP PADRE POVEDA,"AV/ ALFONSO XIII, 23, 28002 MADRID",443380.0,4478055.0,40.4512188749858,-3.6677240367753106,1459.2518472145596,educativo, JMD Chamartín , Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
119.0,5008.0,EI PARQUE INGENIEROS,C/TABERNERA DEL PUERTO 26,440213.0,4467439.0,40.35536909956173,-3.704068831577452,1108.709608008587,educativo, JMD Villaverde , Villaverde ,5.0,Empresa desconocida,2020-11-10
1.0,2178.0,BIBLIOTECA ÁNGEL GONZALEZ,"C/ GRANJA DE TORREHERMOSA, 2 ",434954.0,4472113.0,40.397074625115906,-3.7664885474841503,1743.9618666666668,cultural, AG Cultura Turismo y Deportes , Latina ,18.511834128143455,ORTIZ,2019-07-31
2.0,782.0,BIBLIOTECA IVÁN DE VARGAS,"C/ DOCTOR LETAMENDI, 1",439775.0,4473962.0,40.4141029084466,-3.70985912127358,1743.9618666666668,cultural, AG Cultura Turismo y Deportes , Centro ,18.511834128143455,ORTIZ,2019-07-24
3.0,2096.0,BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),"AV/ MENENDEZ PELAYO , 10-3 BJ ",442345.0,4474221.0,40.4166091081099,-3.67959303680348,1743.9618666666668,cultural, AG Cultura Turismo y Deportes , Retiro ,18.511834128143455,ORTIZ,2019-07-24
4.0,1046.0,PLANETARIO,AV/ PLANETARIO 16,441830.0,4471375.0,40.3909440818148,-3.68539115543989,3.062,cultural, AG Cultura Turismo y Deportes , Arganzuela ,11.57833060053987,FULTON,2019-09-13
5.0,2143.0,MADRID EMPRENDE,"C/CIDRO, 3 ",436689.0,4468938.0,40.368615544135,-3.74573026512817,1242.6928333333333,administrativo," AG Economía, Innovación y Empleo ", Carabanchel ,16.51542372140949,Empresa desconocida,2019-09-13
6.0,1779.0,MARES MADRID,C/ FRANCISCO LAGUNA 38,443153.0,4471330.0,40.390628,-3.669802,1242.6928333333333,administrativo," AG Economía, Innovación y Empleo ", Puente de Vallecas  ,16.51542372140949,ETRALUX,2019-09-13
